floors sokoshell Festival Sokolution Takaken YASS
0         100       100       100      100    100
10	      100       100       100      100    100
20	      100       100       100      100    100
30	      100       100       100      100    100
40	       98       100       100      100    100
50	       88       100       100      100    100
60	       65       100       100      100    100
70	       49       100       100       98     98
80	       35       100        99       93     95
90	       26       100        99       92     89
100	       15        98        96       83     76
110	       12        98        96       77     70
120	        9        97        91       68     52
130	       10        87        91       61     49
140	        1        97        86       67     55
150	        9        90        76       55     48
160	        2        90        81       71     45
170	        3        88        79       44     21
180	        3        89        61       36     14
190	        0        76        45       21      3
200	        0        81        71       14     14
210	        0        68        53        0      0
220	       21        88        69       25     25
230	        0        86        43        0      0
240	        0        75        62       12     12
250	        0       100        67        0      0
